Sentence,Duplicate
"""If this plant dies after a week, then I clearly canâ€™t take care of any plants properly.""
",Original
"""Since I can't swim as fast as the instructor, I'm a total failure at swimming.""
",Original
"""Because my project didn't win first prize, all my work is completely worthless.""
",Original
"""If I'm not the top performer this quarter, then I'm definitely the worst employee in the company.""
",Original
"""My drawing isn't exactly how I envisioned it; therefore, I have no real talent in art.""
","Duplicate of ""My drawing isn't exactly how I wanted it, so I have no artistic talent.""
in row 39"
"""Since I didn't get an 'A' on the test, studying was a total waste of time.""
",Original
"No one complimented me on my new outfit; they must think I look terrible.
","Duplicate of ""No one complimented me on my new outfit, so it must look terrible on me.""
in row 271"
"""If my home isn't as stylish as those in magazines, then it's utterly drab and uninviting.""
",Original
"""Since my suggestion was ignored, nobody must respect any of my ideas.""
",Original
"""Because I couldn't fix the leak on my first try, I'm useless at DIY repairs.""
",Original
"""If I can't lift as much weight as that person at the gym, then I have no strength at all.""
","Duplicate of ""If I can't lift as much weight as others at the gym, then I'm weak.""
in row 42"
"My novel was rejected by one publisher; it must be bad and not worth anyone's time to read.
",Original
"""Since I lost that tennis match, I should just give up playing sports altogether.""
",Original
"Nobody laughed at my presentation jokes; they probably think I'm completely unfunny.
",Original
"""If this business doesn't succeed within a year, it means that it's bound to fail eventually.""
",Original
"""Because someone disagreed with me today, they must think all of my opinions are wrong.""
",Original
"I can't believe I forgot one item at the store; my whole shopping trip was a failure.
",Original
"""If I'm not the best player on the basketball court, then I'm obviously the worst.""
",Original
"""Since I didn't get every job I applied for, I'm clearly not cut out for any job in my field.""
",Original
"""My first attempt at painting wasn't perfect, so I must have no artistic ability at all.""
","Duplicate of ""My first attempt at painting wasn't a masterpiece, so I have no artistic talent at all.""
in row 192"
"""Because my blog doesn't have thousands of followers, it's a complete flop and a waste of time.""
",Original
"""If this new diet doesn't show results in a week, then it's totally ineffective and pointless to continue.""
",Original
"I missed one gym session this week; my entire fitness routine is off track now.
",Original
"No one commented on my new haircut; they must think it looks awful.
",Original
"""Since my home isn't as big as others on the block, it must be embarrassingly small and inadequate.""
",Original
"""If I don't get this assignment right on the first try, then I'm not smart enough for this class.""
",Original
"Nobody responded to my email within a day; they must all think it's unimportant or irrelevant.
",Original
"""Because my team lost today's game, we'll probably lose every game this season.""
",Original
"I didn't understand that explanation immediately; I must be really slow to learn anything new.
",Original
"My child didn't win the art contest at school; they're clearly not creative at all.
",Original
"""Since that person didnâ€™t return my phone call, they must be ignoring me because they donâ€™t like me.""
",Original
"""If I canâ€™t fix things around the house without help, then Iâ€™m completely inept at being handy.""
",Original
"I forgot to wish my friend happy birthday on their actual birthday; I'm such a terrible friend.
","Duplicate of ""I forgot to call my friend on their birthday, so I'm the worst friend ever.""
in row 31"
"""I didn't get the lead part in the choir, so I must not be able to sing at all.""
",Original
"My project got some constructive criticism; I must be totally bad at my job.
","Duplicate of My project received some constructive criticism; it must be completely flawed.
in row 116"
"""Since I can't do this yoga pose as well as the instructor, I shouldn't even attend the class.""
",Original
"I forgot one item on my grocery list; my memory is just terrible.
","Duplicate of ""I forgot one item on my grocery list, so now the whole shopping trip is a disaster.""
in row 119"
"No one complimented me on my new glasses; they must think I look weird.
",Original
"""If I'm not the fastest in the marathon, then all my training was pointless.""
",Original
"""Because one person yawned during my presentation, it must have been completely boring for everyone.""
",Original
"My friend canceled on me last minute; they probably don't like spending time with me.
","Duplicate of My friend canceled plans with me once; they probably donâ€™t enjoy spending time with me anymore.
in row 207"
"""Since I can't afford that expensive watch, I'll never fit in with my colleagues.""
",Original
"""I tried to play the guitar and it was hard, so I'll never be a musician.""
",Original
"""My soufflÃ© didnâ€™t rise perfectly, so I'm no good at baking whatsoever.""
",Original
"""Because our team lost twice this season, we're definitely the worst team ever.""
",Original
"No one replied to my comment in the group discussion; what I said must have been stupid or irrelevant.
",Original
"""If this date isnâ€™t amazing, then weâ€™re clearly not meant to be and should stop seeing each other.""
",Original
"""Since nobody liked the dish I brought to the potluck, they must think I'm a bad cook.""
",Original
"""I'm not the valedictorian, so my entire academic career is a joke.""
",Original
"I missed one day of journaling; my writing habits are completely inconsistent.
",Original
"My toddler had a tantrum in public; I must be the worst parent out there.
",Original
"I didn't get the solo part in the choir; I might as well stop singing altogether.
",Original
"The guests didn't eat all the food at the party; my cooking must be awful.
",Original
"I made a small error on my work report; I'm definitely getting fired over this.
",Original
"Nobody complimented me on my presentation skills; they must all think I'm a terrible speaker.
",Original
"""If I don't get this promotion, it's clear that I've achieved nothing in my career.""
",Original
"""Since I can't do these math problems without help, I clearly have no aptitude for numbers at all.""
",Original
"""My home doesn't look like a catalog model, so it must be completely unattractive and outdated.""
",Original
"""I forgot to send one email, so now all of my clients must think I'm unreliable.""
",Original
"I didnâ€™t get asked to dance at the party; nobody there must have liked me at all.
",Original
"""Since I canâ€™t afford designer brands, people probably think I dress poorly and have no style.""
",Original
"""No one acknowledged my new hairstyle today, so it must look really bad on me.""
",Original
"""Because someone else won 'Employee of the Month,' it means my work is never recognized or valued here.""
",Original
"My friend beat me in a video game; Iâ€™m just not good at any games whatsoever.
",Original
"""Since our team didnâ€™t win first place, itâ€™s as if all our hard work this season counts for nothing.""
",Original
"My child isn't reading chapter books yet while others are; they're going to fall behind in school forever now.
",Original
"One person unsubscribed from my newsletter; everyone must find the content unengaging and useless.
",Original
"""If this group doesnâ€™t accept me, then no group will ever accept me and I'll always be an outsider.""
",Original
"I forgot to turn off the lights before leaving the house; I'm so irresponsible.
",Original
"""Since I didn't get any likes on my photo within the first hour, it must be a terrible photo.""
",Original
"I only ran one mile today instead of two; I'm just not cut out for running.
",Original
"My coworker disagreed with my idea; they must think all my ideas are bad.
",Original
"I lost my phone; nothing ever goes right for me.
",Original
"""Because my son got into a fight at school, he must be a bully and it's all my fault as a parent.""
",Original
"""If I can't do this task as quickly as others, then I'm completely incompetent at my job.""
",Original
"""Since no one mentioned the new paint color in my living room, it must look horrible.""
",Original
"I didn't understand that movie everyone loves; I must have poor taste in films.
",Original
"My friend didn't call me back immediately; they must be angry with me.
",Original
"""Because I didn't win the game of chess, I'm not intelligent.""
",Original
"No one chose to sit next to me on the bus; people must find me unapproachable.
",Original
"""Since my cake didn't rise perfectly, it's completely inedible and a disaster.""
","Duplicate of ""Since the cake I baked isn't perfectly moist, it's completely inedible and a total disaster.""
in row 162"
"Nobody laughed at the story I told during lunch; they probably think I'm boring.
",Original
"""Because one person gave me negative feedback, everyone must dislike what I've done.""
",Original
"I spilled a drop of coffee on my report; now it's completely ruined and I can't turn it in.
",Original
"""Since I didn't get the main role in the musical, I have no talent in performing arts.""
",Original
"I forgot to say goodbye to someone at the party; they must think I'm incredibly rude.
",Original
"My presentation didn't get any applause; my career is over.
",Original
"""Since I got one question wrong, I must not know anything about this topic.""
",Original
"""Because my friend didn't reply to my text for a few hours, they must be ignoring me on purpose.""
",Original
"I made a typo in an email; my colleagues will think I'm illiterate.
",Original
"No one noticed the new painting in my office; it must be unattractive and worthless.
",Original
"""Because my son struck out at his baseball game, he'll never be good at sports.""
",Original
"""If I don't get this puzzle right away, then I'm not clever at all.""
",Original
"""Since the client had one criticism about my proposal, they probably hated everything about it.""
",Original
"""My homemade bread isn't as fluffy as the bakery's, so it's a complete failure and uneatable.""
",Original
"Nobody complimented me on the work I did for the event; they probably didn't notice or care about my efforts.
",Original
"""If this class doesn't come easy to me immediately, then there's no way I'll pass this semester.""
",Original
"""Since that person disagreed with one of my points, they must think all of my opinions are invalid.""
",Original
"""I didn't get the exact table I wanted at the restaurant, so the whole evening is ruined.""
",Original
"""My child didn't win first place, so they must not be good at anything.""
",Original
"""If I can't play this guitar solo perfectly, then I shouldn't play guitar at all.""
",Original
"""Since my book hasn't been published, I must not be a real writer.""
",Original
"""If I don't get complimented on my outfit, then I have no sense of style.""
",Original
"""My team didn't finish the project first, so our efforts were useless.""
",Original
"""If my speech doesn't get a standing ovation, then it was a total failure.""
",Original
"""Since I'm not the most popular person at work, nobody must like me.""
",Original
"""If my idea isn't chosen for the project, then it's probably worthless.""
",Original
"""Since I didn't ace the driving test on my first try, I'm a terrible driver.""
",Original
"""If everyone doesnâ€™t agree with my opinion, then it must be wrong.""
",Original
"""My photo didnâ€™t get featured in the exhibit; therefore, Iâ€™m not a good photographer.""
",Original
"""Since we lost one client at work, we'll probably lose them all.""
",Original
"""I didn't get the first question right, so I'm bound to fail the entire exam.""
",Original
"""Because I stumbled over my words once in conversation, everyone must think I'm socially awkward.""
",Original
"""Since I can't afford the latest smartphone, I must be seen as out of touch by everyone else.""
",Original
"No one responded to my presentation proposal; it's a sign that all my ideas are terrible and no one respects me professionally.
",Original
"My project had a minor setback; it's completely doomed and there's no point in continuing.
",Original
"""Since my home isn't as big as my friend's, it must be embarrassingly small.""
","Duplicate of ""Since my home isn't as big as others on the block, it must be embarrassingly small and inadequate.""
in row 411"
"""If I'm not constantly praised by my partner, then they don't love me at all.""
",Original
"""Because the interviewer didn't laugh at my joke, I've definitely failed the job interview.""
",Original
"My child isn't the fastest reader in their class; they'll never do well in school.
",Original
"""Since my new business hasn't turned a profit in its first month, it will surely be a financial disaster.""
",Original
"Nobody liked or shared my social media post within a day; it means what I have to say is uninteresting to everyone.
",Original
"""If this therapy session doesnâ€™t make me feel better instantly, then therapy is useless and wonâ€™t help me at all.""
",Original
"""Because one person glanced at their watch during our meeting, they must have been bored by everything I said.""
",Original
"""No one mentioned the new decor in my house; clearly, my taste is terrible and nobody likes it.""
",Original
"My poem didnâ€™t receive any accolades; writing poetry is just something Iâ€™m not cut out for.
",Original
"""Since we didnâ€™t win our case this time, our law firm must be the worst in town and will lose every case from now on.""
",Original
"""I didn't get the last question right, so I must have failed the whole test.""
",Original
"""Because my cake didn't turn out like the one in the cookbook, I'm terrible at baking.""
",Original
"""I only jogged three times this week instead of five, so my exercise plan is completely ruined.""
",Original
"My painting wasn't chosen for the exhibition; I must not have any artistic talent.
",Original
"""If my friends don't call me every day, they must not really care about me.""
",Original
"""Since I'm not the fastest worker on my team, I must be the least productive and valuable.""
",Original
"No one said anything about my new haircut; it must look really bad.
",Original
"""Because I forgot to bring a dish to the potluck, everyone must think I'm thoughtless and selfish.""
",Original
"""My home isn't as tidy as my neighbor's, so it must be a total mess.""
",Original
"""If I can't fix this issue on my car by myself, then I'm completely inept at car maintenance.""
",Original
"""Since no one laughed at my comment during dinner, it was probably stupid and I shouldn't speak up again.""
",Original
"My child didn't score the highest on their math test; they're going to struggle in school forever now.
",Original
"""Because someone corrected me during a discussion, they must think I know nothing about the topic.""
",Original
"""Since that person didnâ€™t smile at me in the hallway, they probably dislike me.""
","Duplicate of ""Since that person didnâ€™t smile back at me when I greeted them, they clearly dislike me.""
in row 212"
"No one asked me to join them for lunch; they all must find me uninteresting or annoying.
",Original
"""If this plant doesnâ€™t grow after a week of planting it, then itâ€™s never going to grow and I should just give up gardening altogether.""
",Original
"""I didn't get the job I wanted, so my career is over.""
",Original
"""Because I missed one deadline, I'm a complete failure at time management.""
",Original
"""My friend didn't laugh at my joke, so I must not be funny at all.""
","Duplicate of ""If everyone doesn't laugh at my joke, then I'm not funny at all.""
in row 48"
"""Since I lost my temper once, I must be an awful person.""
",Original
"No one noticed the new plant in my room; it's like they don't notice anything I do.
",Original
"""If I can't master this skill right away, then I'm not talented.""
",Original
"""Because my story wasn't the most popular, it's obviously the worst one written.""
",Original
"""Since I can't afford a big house, my living situation is pathetic.""
",Original
"Nobody asked me about my weekend; they must find me boring.
","Duplicate of Nobody asked about my weekend; they must not care about me as a person at all.
in row 354"
"""If this date isnâ€™t perfect, then thereâ€™s no point in dating ever again.""
",Original
"My child isnâ€™t doing as well as other kids in soccer; they'll never be good at any sport.
",Original
"""Since no one complimented my work on the project, it's like my contribution was worthless.""
",Original
"""If I can't lose weight as quickly as others, it's useless for me to try to diet at all.""
",Original
"""Because someone pointed out a mistake in my work, they must think everything I do is wrong.""
",Original
"I didn't receive any compliments on my work today; I must be completely incompetent.
",Original
"""Since my homemade cake wasn't as good as the store-bought one, I'm a terrible baker and should just stop trying.""
",Original
"I made a minor mistake during my performance; now everyone must think I'm the worst performer ever.
",Original
"""Because I haven't lost weight this week, all my efforts at dieting must be ineffective and pointless.""
",Original
"""If my friends don't include me in every plan, they probably don't like me at all.""
",Original
"My business hasn't made a profit this quarter; it's sure to go bankrupt soon.
",Original
"""Since I didn't understand that concept immediately, I must be really bad at learning new things.""
",Original
"No one asked me to contribute to the discussion; my opinions must be worthless.
",Original
"I missed one deadline at work; my reputation must be completely tarnished now.
",Original
"""Since my child didn't get straight A's, they're not going to have a successful future.""
",Original
"My idea was rejected once; it means that no one will ever appreciate my creativity.
",Original
"""If I can't lift as much weight as the other people in the gym, then there's no point in even trying to exercise.""
",Original
"Nobody noticed the effort I put into cleaning the house; they probably think I'm lazy and untidy.
",Original
"""Since that person didnâ€™t laugh at my joke, they probably find me completely unfunny.""
",Original
"No one complimented me on my new car; it must not be impressive at all.
",Original
"""Because I didn't finish reading that novel in a week like everyone else, I'm such a slow reader.""
","Duplicate of ""Since I didn't finish reading this book in one week, I must be a slow reader.""
in row 71"
"I dropped one plate while washing dishes; I'm a complete klutz and can't do anything right.
",Original
"""My homemade cookies didn't turn out soft and chewy like the recipe promised, so I'm an absolute failure at baking.""
","Duplicate of ""My homemade cookies didn't turn out like the picture, so I'm a failure at baking.""
in row 86"
"I forgot to wish my colleague on their work anniversary; they must think I'm inconsiderate and self-absorbed.
",Original
"""Since I missed answering two questions during the interview, they'll definitely reject me and think I'm unqualified for any job.""
",Original
"""Because my son didnâ€™t score a goal in his soccer game, heâ€™s not athletic at all and should just give up sports.""
",Original
"No one praised the report I spent weeks on; it must be totally worthless and nobody appreciates my hard work.
",Original
"""If I can't get this computer issue resolved without help, then I'm hopelessly inept with all technology.""
",Original
"""My friend didnâ€™t immediately agree with my point of view, so they must think all of my opinions are wrong.""
",Original
"""Since the cake I baked is slightly overcooked, it's completely ruined and no one will want to eat it.""
",Original
"Nobody waved back when I greeted them from across the street; everyone must find me annoying or invisible.
",Original
"""If this first chapter of my novel isn't perfect, then there's no point in writing the rest because it'll never be good enough.""
",Original
"""Because someone looked bored during my story, it means that everything I say is uninteresting and tedious.""
",Original
"""Since we didn't reach our monthly sales target, the entire team must be incompetent and our jobs are likely at risk.""
",Original
"My child got one math problem wrong on their homework; they're probably going to fall behind in class now.
",Original
"No one noticed that I cleaned up the break room at work; they must think I never contribute to keeping the office tidy.
",Original
"""If this plant doesn't bloom in the first season, then my entire garden is a failure and not worth tending to anymore.""
",Original
"I missed one question during the team trivia; I must be the least knowledgeable person here.
",Original
"""Since my painting wasn't chosen for the gallery showcase, it's clear I have no talent as an artist.""
",Original
"""If I'm not the fastest runner on the track, then I'm definitely the slowest.""
",Original
"My business didn't attract a crowd on opening day; it's sure to be a failure.
",Original
"""Because I forgot one key point in my presentation, it was completely ineffective and nobody got anything out of it.""
",Original
"""No one mentioned my new haircut, so they must all think it looks horrible.""
",Original
"""Since I can't do this exercise as well as everyone else in my fitness class, there's no point in me even trying to get fit.""
",Original
"My suggestion at work was not implemented; all my ideas are probably bad and no one values them.
",Original
"""If I don't understand this concept right away, then I'm never going to be able to grasp it.""
",Original
"""Because my child didn't win their soccer game, they clearly have no athletic ability at all.""
",Original
"""Since that person didn't laugh at my joke, they must think I'm completely humorless.""
",Original
"No one liked my post within the first hour; it must mean what I had to say was unimportant or uninteresting.
",Original
"""If this recipe doesn't turn out perfectly, then I'm a hopeless cook and should never try new recipes again.""
",Original
"""Since we lost our basketball game, we're definitely the worst team ever and won't win any future games.""
",Original
"My story wasnâ€™t picked for the anthology; my writing is obviously terrible and no one enjoys reading it.
",Original
"I missed one question on the homework; I'm going to fail the entire class.
",Original
"""Since I didn't get first place, I must be the worst.""
",Original
"""If my friends don't invite me to every event, they must not like me at all.""
","Duplicate of ""If my friends don't invite me to every outing, they must not like me at all.""
in row 100"
"My project wasn't praised by everyone; it must be a complete failure.
",Original
"""Because I didn't understand that concept right away, I'll never get it and should drop the class.""
",Original
"No one said anything about my new coat; it must look terrible on me.
","Duplicate of No one said anything about my new haircut; it must look really bad.
in row 520"
"""If I can't lose weight as fast as my friend, then dieting is useless for me.""
",Original
"""Since my poem didn't win the contest, I should stop writing altogether.""
",Original
"My comment was ignored in the meeting; my colleagues must think I'm irrelevant.
",Original
"""Because I'm not married by 30, my love life is doomed.""
",Original
"My drawing isn't perfect; I have no artistic talent whatsoever.
","Duplicate of ""My drawing isn't exactly how I wanted it, so I have no artistic talent.""
in row 39"
"""Since we didn't beat our sales record this quarter, our business is going downhill.""
",Original
"No one complimented my singing; they probably think I'm tone-deaf.
",Original
"""If this job interview doesn't lead to a job offer, then all of my interviews are doomed to fail.""
",Original
"My child got into a small argument at school; they're definitely going to be antisocial.
",Original
"""I couldn't finish the marathon, so I'm not athletic at all.""
",Original
"""Because I missed one networking event, my career opportunities are ruined.""
",Original
"""My dish didn't turn out like the cooking show, so I'm a terrible cook.""
",Original
"""Since I didn't understand that lecture, I'm just not cut out for college.""
",Original
"""If my article doesn't go viral, then I'm a failure as a writer.""
",Original
"""Because one person left during my movie, it must be a terrible film and everyone hates it.""
",Original
"""Since I can't draw like a professional artist right away, there's no point in me continuing to draw.""
",Original
"No one noticed my new watch; they must think it's cheap or tacky.
",Original
"My business only had three customers today; it's bound to fail.
",Original
"""Since I wasn't the top scorer on my team this game, they probably think I'm the weakest player.""
",Original
"""If this class isn't easy for me, then I must not be smart enough to graduate.""
",Original
"""Because my garden isn't perfect, I must have no skills as a gardener.""
",Original
"""My poem was rejected by one publisher; clearly, nobody will ever enjoy my poetry.""
",Original
"""Since that person didn't laugh at my speech joke, the entire audience must have found me boring.""
",Original
"No one asked me to join their study group; they must all think I donâ€™t contribute anything valuable.
",Original
"""I didn't receive immediate feedback on my presentation, so it must have been terrible.""
",Original
"""Since I lost that online game, I'm obviously bad at all video games.""
",Original
"""No one immediately understood my idea, so it must be completely worthless.""
",Original
"I forgot to bring my lunch today; I'm always so forgetful and disorganized.
",Original
"My home isn't as clean as I wanted for the guests; they'll think I live in filth.
",Original
"""Because I was nervous on my first date, I'm destined to be single forever.""
",Original
"""If this new recipe isn't a hit with my family, then I should just stop cooking new things.""
",Original
"""Since the teacher had to explain the material twice, I must be the dumbest student in class.""
","Duplicate of ""Since the teacher had to explain the concept to me twice, I must be the slowest learner in class.""
in row 284"
"Nobody asked me about my recent trip; they must not care about what happens in my life.
",Original
"""My painting didn't turn out exactly as planned; therefore, I have no talent in painting.""
",Original
"""Because my application was rejected by one company, no one will ever want to hire me.""
",Original
"""Since the audience didn't give me a standing ovation, they probably hated my performance.""
",Original
"No one complimented me on my work ethic; they must think I'm lazy and unproductive.
",Original
"""If this plant doesn't survive indoors, then all plants are impossible for me to keep alive.""
",Original
"""Because one person criticized part of my project, it's clear that the entire project is flawed.""
",Original
"""I didn't get the lead role, so my acting must be horrible.""
","Duplicate of ""I didn't get the lead role in the play, so I have no acting ability whatsoever.""
in row 61"
"""Since I missed one deadline, I'm a total failure at managing my time.""
",Original
"""If I can't do these exercises perfectly, then I'm just not cut out for the gym.""
",Original
"""Because my painting didn't sell, I must have no talent as an artist.""
",Original
"My project received some criticism; it's all worthless now.
","Duplicate of My project received some constructive criticism; it must be completely flawed.
in row 116"
"""Since I don't have a high-paying job, I must be unsuccessful in life.""
",Original
"No one laughed at my presentation joke; they must think I'm not funny at all.
",Original
"""If this meal isn't perfect, then there's no point in me cooking ever again.""
",Original
"My article wasn't accepted by the first journal; I should stop writing.
",Original
"""Since we didn't win the match, our team is clearly the worst.""
",Original
"I made a mistake in my calculations; I'm terrible at math.
",Original
"Nobody signed up for my class; they must think I'm a bad teacher.
",Original
"""If this date doesn't go well, then no one will ever want to be with me.""
",Original
"""Because someone disagreed with me, they must think all of my ideas are bad.""
",Original
"My blog post only got a few views; nobody is interested in what I have to say.
",Original
"""I missed one question on the quiz, so I must be completely unprepared for this subject.""
",Original
"""I didn't get the first place in the marathon, so all my training was for nothing.""
","Duplicate of ""I wasn't the first to finish the marathon, so all my training was useless.""
in row 148"
"""Because I didn't get an immediate response to my text, they must not care about me at all.""
",Original
"""Since I didn't land a perfect score on my driving test, I must be the worst driver ever.""
",Original
"""No one complimented me on my new hairstyle, so it must look absolutely terrible.""
","Duplicate of ""No one complimented me on my new outfit, so it must look terrible on me.""
in row 271"
"""My homemade lasagna wasn't as good as the restaurant's, so I'm a failure in the kitchen.""
",Original
"I missed one day of my medication; I'm probably going to be sick forever now.
",Original
"""If this plant dies, then I clearly can't take care of anything living.""
",Original
"""Since my comment didn't spark a discussion, it must have been completely uninteresting.""
",Original
"I only got second place in the science fair; my project was obviously the worst.
","Duplicate of My science project didn't win the fair; I'm obviously terrible at science.
in row 329"
"""Because someone yawned during my talk, nobody was interested in what I had to say.""
",Original
"""If I canâ€™t run 10 miles like everyone else in my running group, then running isnâ€™t for me and never will be.""
",Original
"""Since no one said â€˜good morningâ€™ back to me today, they must all dislike me.""
",Original
"My blog post didnâ€™t receive any comments; it means that my writing is unappealing and nobody cares about what I have to say.
",Original
"""Because we lost one soccer game, we're definitely going to lose every match from now on.""
",Original
"""If this new business venture doesnâ€™t succeed immediately, then itâ€™s a complete failure and not worth pursuing further.""
",Original
"""I didn't get every answer right on the quiz, so I must not know anything about the subject.""
",Original
"I forgot to turn off the lights when I left home; now my electric bill is going to be sky-high.
",Original
"""Because one person didn't clap after my performance, the whole audience must have hated it.""
",Original
"""If I can't finish this book in a day like everyone else seems to do, then I'm too slow and shouldn't bother reading at all.""
",Original
"My son's team only scored second place; he probably thinks he's not good enough for any sport now.
",Original
"""Since no one asked me about my presentation afterwards, they must have found it completely unmemorable and pointless.""
",Original
"""If I don't get this math problem right away, then I'm just not cut out for any kind of academic pursuit.""
",Original
"No one liked my post within the first hour; it means what I had to say was unimportant or uninteresting.
","Duplicate of No one liked my post within the first hour; it must mean what I had to say was unimportant or uninteresting.
in row 587"
"""Because we lost one game, our entire season has been worthless and we're a failure as a team.""
","Duplicate of ""Since my team lost the match today, our entire season has been a waste and we're all failures.""
in row 132"
"""Since that person didnâ€™t return my smile in the hallway, they clearly dislike me.""
",Original
"Nobody noticed that I got a new phone; they must think it's insignificant or don't care about what happens in my life.
",Original
"""If this cake doesnâ€™t come out perfectly from the oven on the first try, then thereâ€™s no point in ever baking again.""
",Original
"My friend canceled plans with me once; they must find hanging out with me boring or unpleasant.
",Original
"""Since nobody complimented me on losing weight, it probably wasnâ€™t worth the effort and made no difference.""
",Original
"I can't believe I missed that one meeting; my coworkers must think I'm totally unreliable.
",Original
"""Since I got a B on the test, there's no way I'll get into a good college.""
",Original
"""If my first attempt at painting isn't perfect, then I have no artistic talent and should just stop trying.""
",Original
"My homemade cookies didn't turn out exactly like the recipe said; I'm obviously hopeless in the kitchen.
",Original
"""Because my child didn't score top marks, they must not be very bright.""
",Original
"No one responded to my joke at dinner; they probably all think I'm dull and humorless.
",Original
"""If this plant doesn't survive, then clearly I can never take care of any plants or pets.""
","Duplicate of ""If this plant doesn't survive, then I obviously can't take care of any plants.""
in row 270"
"""Since we lost the soccer match by one goal, our team is definitely the worst in the league.""
","Duplicate of ""My team lost one match, so we're the worst team in the league.""
in row 51"
"My article only got a few views online; it means what I write about isnâ€™t interesting or valuable to anyone.
","Duplicate of My blog only has a few followers; it means what I write about isnâ€™t interesting or valuable to anyone.
in row 260"
"""Since nobody liked my post within an hour, it must be completely uninteresting content.""
","Duplicate of ""Since nobody liked my post within the first hour, it must be completely uninteresting content.""
in row 261"
"""Since I can't afford designer clothes, I must look terrible.""
",Original
"""My homemade pizza isn't as good as the restaurant's, so I'm a terrible cook.""
",Original
"""If this haircut doesn't look good on me, then my whole appearance is a disaster.""
",Original
"""I didn't understand that joke, so everyone must think I'm humorless and dull.""
",Original
"""Because one person left during my speech, it means that what I had to say was completely boring.""
",Original
"""My child didnâ€™t finish their plate, so they must hate my cooking.""
",Original
"""Since I canâ€™t do these math problems easily, Iâ€™m just not cut out for anything academic.""
",Original
"""If this workout isnâ€™t extremely tough, then itâ€™s not doing anything for my fitness.""
",Original
"""Because it rained on our picnic day, the entire weekend is ruined now.""
",Original
"""I didn't get every answer right on the test, so I must be the dumbest person in class.""
",Original
"""Since my project wasn't selected as the best, it's completely worthless and a reflection of my abilities.""
",Original
"""Because I didn't win at the game night, I'm clearly no good at any games whatsoever.""
",Original
"No one asked me to join their lunch table; they must all dislike me.
","Duplicate of No one asked me to join them for lunch; they all must find me uninteresting or annoying.
in row 528"
"""If this new strategy at work doesn't yield results instantly, then it's a total failure and not worth pursuing further.""
",Original
"My homemade dessert wasnâ€™t praised by everyone; my cooking skills must be terrible.
",Original
"""Since I canâ€™t play this song perfectly on piano after a few tries, I'll never be able to learn it or any other piece.""
",Original
"Nobody laughed at my presentation humor; they probably think I have no sense of humor at all.
",Original
"""If my article isnâ€™t shared widely, then what I write is unimportant and nobody cares about my opinion.""
",Original
"""Because someone criticized part of my idea, they must think all of my ideas are bad and that Iâ€™m incompetent.""
",Original
"I missed one day of my diet; I've completely blown it and might as well eat whatever I want now.
",Original
"""Since I can't afford a vacation this year, my whole life is just work and no fun.""
","Duplicate of ""Since I can't afford a vacation this year, my life is just boring and pathetic.""
in row 83"
"""If I'm not the top salesperson this month, then I'm obviously the worst one on the team.""
",Original
"""My presentation didn't win immediate approval, so it must have been totally unconvincing.""
",Original
"""Because my son got in trouble at school today, he's always going to be a problem child.""
",Original
"No one immediately understood my explanation; they must think I'm incapable of communicating effectively.
",Original
"""Since I didn't get invited to that meeting, my input must not be valuable to anyone at the company.""
",Original
"My home isn't spotless for the party; guests will think I live in total squalor.
",Original
"""If this new technique doesn't work right away, then it's useless and a waste of time to practice any further.""
",Original
"Nobody praised me on losing weight; they probably can't even tell that I've been trying.
",Original
"I missed one day of my reading challenge; I'm never going to be a well-read person.
",Original
"""Because I didn't get the highest grade in the class, I must be the least intelligent student.""
",Original
"""If my garden isn't the most lush on the block, then it's an absolute eyesore and not worth tending to.""
",Original
"""Since my comment wasn't acknowledged in the group chat, they all must find me uninteresting or annoying.""
",Original
"""My project didn't receive unanimous praise; therefore, everyone must think it's a complete failure.""
",Original
"""Because I canâ€™t do this yoga pose as perfectly as others in class, thereâ€™s no point in me doing yoga at all.""
","Duplicate of ""If I canâ€™t do yoga poses as well as everyone else in class, then thereâ€™s no point in me doing yoga at all.""
in row 108"
"No one mentioned my new outfit today; they probably think it looks bad on me.
","Duplicate of Nobody complimented me on my new outfit today; they probably all think it looks bad.
in row 302"
"""If this recipe doesnâ€™t turn out exactly like how it looks online, then Iâ€™m a terrible cook and should stop trying new things.""
",Original
"""Since we lost one game this season, our team is definitely going to lose every game hereafter.""
","Duplicate of ""Since our team lost once, we're definitely going to lose every game hereafter.""
in row 170"
"Nobody asked for seconds when I cooked dinner last night; they probably hated it.
","Duplicate of ""When i cooked dinner for friends last night nobody asked for seconds ,they probably hated it .""
in row 219"
"I missed one question during the quiz; I'm definitely failing this class.
",Original
"""Since my painting didn't sell at the first show, I must not have any talent as an artist.""
","Duplicate of ""Since my painting didn't sell at the first art fair, I must not have any real talent.""
in row 293"
"""If I can't get these dance steps right immediately, then I'll never be a good dancer.""
",Original
"""Because no one liked my social media post within the first few minutes, it's obviously uninteresting.""
",Original
"My business had a slow day; it's sure to go under soon.
",Original
"""Since I got second place in the competition, all my hard work was for nothing.""
",Original
"No one asked me to hang out this weekend; they must all dislike me.
",Original
"""If this date isn't perfect, then we're clearly not meant to be together and should just break up now.""
","Duplicate of ""If this date isn't perfect, then we're clearly not meant to be together and should break up immediately.""
in row 130"
"My team lost by one point; we're clearly terrible at sports and will lose every game from now on.
",Original
