sentence,response,label
"i'm incredibly angry all the time, sometimes i don't even know why.",distorted,distorted
i don't have much memories of my childhood and if try to remember i begin to have a terrible migraine so i avoid them.,non-distorted,distorted
"i have to kill someone or i get hot flashes, twitchy, nervous, and anxious.",distorted,distorted
how did i let things get to such a bad outcome? i don't know.,distorted,distorted
"i have realized how i'm trying to distance myself from him because i am just so angry at this situation he has put me in,i feel he deceived me.",distorted,distorted
i try to be there for her but i feel horrible letting the abuse happen.,distorted,distorted
"she is the only person i have to communicate with besides my boyfriend and dont want to loss her, but he gets so angry when she is brought up.",distorted,distorted
completely alone with no one around me.,distorted,distorted
i have an addictive personality it sends me into panic mode thinking of not smoking ever again in my life .,distorted,distorted
whatever fear i still had was replaced by the terrible embarrassment of having my daughters see me in such a helpless heap.,distorted,distorted
"this is really frustrating me, i can't get the help i need and i'm just getting pushed into a life which i'm not ready for yet, i feel completely useless and pathetic.",distorted,distorted
but i cannot make him talk to me so he is never going to understand and i am doomed forever to the abandonment i feel.,distorted,distorted
i get very violent thoughts during these episodes but i never act on them at all.,non-distorted,distorted
"she has cut off relationships at the drop of a hat, never to speak to people again.",distorted,distorted
"i have never been prone to depression, but i just felt so much shame and self-loathing that i haven't been able to bounce back.",distorted,distorted
i'm tired all the time.,non-distorted,distorted
without any means of getting any info about him and analysing the situ i thought he couldn't have been mia for 36 straight hours hadn't it been something crucial and i was panicking and sent a fb message to his sis only to learn he had been sleeping since he landed.,distorted,distorted
"yet i know myself that i will never give in, i am afraid of pain.",distorted,distorted
"she has made comments in the past that she would ""stab me"" and she would ""get off"" if she were to kill me (because i cheated).",distorted,distorted
i've tried every depression medication was on medication to help me sleep (which is another issue) and for my anxiety and nothing has seemed to work for me.,distorted,distorted
i am 38 years old and i have never had a boyfriend and i am so ashamed of my body that i have turned to food to destroy my body so that no one would be interested in me.,distorted,distorted
i feel pathetic because i'm also jealous of my 19-year-old cousin and 14-year-old brother.,distorted,distorted
my fiancé and me are now facing problems because of my changed feelings.,non-distorted,distorted
i have a terrible dread of my mom's death.,distorted,distorted
i don't relate to people with ocd because my obsessions/compulsions are so different to the majority of ocd sufferers.,distorted,distorted
"i consider myself to be a worthless, evil man, and i often feel down in the dumps (aside from the occasional elevated states, which i'd say are much like manic episodes, only shorter and lighter).",distorted,distorted
"i have learned to simply just accept this, as life for me will never get better, and all attempts to possibly change that belief are futile.",distorted,distorted
"my husband has always told me that he wants the same and he feels the same towards me, but i can't stop questioning him about it.",distorted,distorted
after the surgery (he is now cancer-free!) he has been making suicidal statements (which he has never done before to the best of my knowledge) and his past uncontrollable anger has resurfaced 10-fold.,non-distorted,distorted
"i'm in tears all the time, get little sleep, have anxiety that is worsening and am recovering from three surgery's in the last 6 months.",non-distorted,distorted
last night when we were at his mum's house he told her everything about him feeling angry at the slightest thing and he started crying cause i'm the only one he's ever told about these feelings.,non-distorted,distorted
"in summer of 2013 my father was diagnosed with terminal liver cancer and within only a month, he withered away into nothing and was gone.",non-distorted,distorted
what else should i try? i am a 21-year-old college student and have been depressed for most (if not all of) my life.,distorted,distorted
"i am taking prescription meds for the headache, depression, and anxiety, but it doesn't always work.",non-distorted,distorted
"my problem is, my father never acknowledged his behaviour, and for some reason i feel a need for him to apologize.",distorted,distorted
it seems like i can never win with my family no matter what i do.,distorted,distorted
i tried to avoid contact with people because i was afraid that when they realized my age they would give me a look and i would feel extremely embarrassed.,distorted,distorted
i now feel ugly and worthless.,distorted,distorted
"i'm not trying to get a diagnosis but just some advices on how to talk to my parents (that know absolutely nothing about it, they just think i'm someone very nervous) even if i know that it would tear them apart to know that i self-harmed and how bad i feel.",distorted,distorted
"i've been raped, abused, etc… my mother was an alcoholic my entire childhood and she was never there.",non-distorted,distorted
he started to blame me for things i didn't do and got mad if i didn't confess to his assumptions.,non-distorted,distorted
i just want to sit on my bed and cry over nothing sometimes.,distorted,distorted
"if i see the slightest thing off about my interaction with them, i panic and assume the worst.",distorted,distorted
i thought he had an issue even before he told me that his ex-girlfriend thought he had an anger issue and should see a therapist (which he did).,non-distorted,distorted
"my thinking is completely distorted during these episodes, and as soon as i come out of it (usually within a few hours), i'm embarrassed by my actions and think clearly again.",distorted,distorted
"replaying the memories in my head doesn't upset me, i feel nothing at all.",non-distorted,distorted
"i don't know why, but people ignore me all the time.",distorted,distorted
"today i thought to myself i hate everything, but jokes on them i hate myself more.",distorted,distorted
i have a problem with my wife (age 30) and i have reached a point where i do not know how i should deal with her.,non-distorted,distorted
i constantly have 2 different thoughts and i argue with myself all the time in my head.,distorted,distorted
"whatever, anything so that i don't have to suffer anymore.",distorted,distorted
"my wife feels very stressed whenever i try to talk to her about it (her distress has been kept latent too long, because my mother – a midwife thought it was ocd).",distorted,distorted
"i don't know what to do because i love him, but i just keep having such bad thoughts about him.",distorted,distorted
"she thinks i should see a therapist, but it really scares me and makes me uncomfortable to be honest.",non-distorted,distorted
"i feel completely lost in life, i don't know what i want.",distorted,distorted
"also because i love him, but now i'm so lost and confused i'm tired of being hurt! why should i be punished with heart break because hes still not ready to commit.",distorted,distorted
i have been married before at 19 for only 3 months and i thought i was over it and didnt care.,non-distorted,distorted
at present i feel as if i could disappear and no one would notice.,distorted,distorted
i started to realize this only recently but since the beginning i found myself feeling more and more stressed and afraid to do something wrong and i start to feel less and less confident about myself.,distorted,distorted
"i feel like i'm just being weak or pathetic because i cannot think of any reason for me to have depression, but whatever it is is really wearing me down, and making me very unproductive and unsocial.",distorted,distorted
"he's never really dealt with his emotions about his past, although he is a sensitive guy and i know he has a lot of hurt inside him.",non-distorted,distorted
i am making stupid errors and mistakes some of them life threatening because of my inability to cope and be able to focus on anything outside of my schedule.,distorted,distorted
i have been dealing with my anxiety for years i never knew how to control the stupid mental illness.,,distorted
"where to start? my #1 problem right now is i seem to have a huge,massive, paralyzing fear of the mail & bills.",distorted,distorted
"none of our fights are ever about one another, yet they can become so mean due to my anger.",distorted,distorted
i have also have thoughts that i may have a psychosis disorder because i am extremely worried i may turn into a psycho and hurt someone which i know i don't want to do that.,distorted,distorted
"what does it mean, when you are completely exhausted, but have no desire to go to sleep? i have searched everywhere, and no one seems to have posted something regarding this issue.",non-distorted,distorted
my thoughts are always riddled with what is wrong with me? i question self worth and i loath my self because i'm not good enough.,distorted,distorted
my dad wanted me to pull out but i insisted on going back because i knew i didn't fail for the reasons he thought i did.,non-distorted,distorted
"my mother and i constantly fight, and i'm never the one to start it.",distorted,distorted
i feel so awful about myself because i think it is inevitable that i feel i have done something to cause it.,distorted,distorted
"i have tried to help her but she has to do it herself, if i try she just gets more angry.",non-distorted,distorted
i've been prescribed antidepressants and anti psychotic but never took them cause my mom n older sister doesn't take me to get the message cause they think refuse to understand me.,distorted,distorted
"however, if i am alone i become certain that i am a failure and will never be able to meet my standards.",distorted,distorted
"my childhood, family, and friendships were and are normal, but i do not have emotional connections to anyone; if somebody 'close' to me died, i would only be concerned with how it would affect my own convenience.",distorted,distorted
everyday we fight because i have something bad to say.,distorted,distorted
"i've had this problem for quite a while now but, i'm too embarrassed to share it with anyone because i don't want anyone to think that i'm some kind of weird person.",distorted,distorted
a lot of my relatives thought i should join the military but now i'm way too overweight and i honestly don't think i'd be able to handle the stress of being in the military anyway.,distorted,distorted
should i divorce in hopes of feeling relief and new love? should i stay where i am because things are horrible and breaking up the family would be worse? i am terrified of making the wrong decision.,distorted,distorted
"it's not like i have thought about marriage or anything like that, i understand that i'm only 21.",non-distorted,distorted
she feels that the only way to get away from the hurt is to leave me.,distorted,distorted
"i am still as lost as ever, desperate for guidance, please :( i have had bulimia/ednos since i was 14 (6 years) and have been through periods of severe self harm in order to cope with it.",distorted,distorted
i'm very close to my boyfriend like he's my soul mate i get the urge to share everything with him but his behaviour triggers extreme anger in ways that scares myself.,distorted,distorted
"if i'm in a rut or maybe stuck in traffic or in a situation where i'm not completely sure what to do, i freak out and get very frustrated and angry.",distorted,distorted
"i'm a 34 year old male and for many years i went through phases where i was very hard on myself, no matter what i achieved, i would still tell myself that its not good enough and pretty much destroy any sort of ""good feelings"" that i assume come with such things.",distorted,distorted
"he was completely psychotic in this time, he actually thought i was someone else and threatened to kill me.",non-distorted,distorted
after we talk everything over he always says sorry he didn't mean it he was just angry and so on.,non-distorted,distorted
i'm desperate for any advice!! please help a helpless confused soul before i lose my mind for good.,distorted,distorted
"i'm so irritable all the time, just my family talking to me makes me angry.",distorted,distorted
"i'm always unsure how to behave in different social situations, and worry about getting things wrong.",distorted,distorted
"before my parents even taked to me or anyone told me, they send me to a psychologist and wanted to force me to go to a clinic, which meant a whole change of my live, id have to leave my home for a year, i was so shocked and even considerd killing myself.",distorted,distorted
i do not feel welcome nor safe much at home.,distorted,distorted
"but he said i didn't have to get him a present because he'd feel guilty because i'd be ""wasting money"" on a bad person.",distorted,distorted
while i didn't have the worst childhood i prefer not to think about it.,non-distorted,distorted
the worst one i have is lack of control over my anger.,distorted,distorted
what should i do? my last year is next year and i want to focus on myself and my grades but it is difficult when society is in the way.,distorted,distorted
i had a chronic feeling of emptiness it seems it will never go.,distorted,distorted
"as i am getting older, it's only getting worse.",distorted,distorted
to help me not only when i am feeling numb but if i am the slightest bit unfulfilled or worried in some way.,distorted,distorted
"i have attempted suicide, because i am sick of life.",distorted,distorted
"i, however, am done with him, but i feel guilty.",distorted,distorted
i am an 18 yr old girl and i have recently been having trouble with self harm.,non-distorted,distorted
"all i know is that whenever any random emotion has struck me, i'm quick to thinking about killing.",distorted,distorted
"i get my schoolwork done when i have to, but i waste a lot of time writing poetry because it's the only place i express my thoughts.",non-distorted,distorted
i have to put in more work then everyone else and its extremely stressful because i not partying or watching tv i just cant focus and get the information in.,distorted,distorted
"i have suffered from depression for about 15 years, but right now i am experiencing symptoms i have never had before.",non-distorted,distorted
this made me jealous of that person because i thought i was going to lose my fiancé.,distorted,distorted
my mind never seems to drift away from over-analyzing any small part of my day that may be related to some sort of symptom of a disorder (such as overreacting to any thoughts that don't seem to be mine kind of thing).,distorted,distorted
"what can i do? i am terribly scared for her! she has never been diagnosed with schizophrenia, but it's the only thing i can think of.",distorted,distorted
i have full access to everything including phones etc so i know he isn't cheating.,non-distorted,distorted
"i have problems with severe anxiety, i tend to feel more comfortable staying in by myself and so that i don't have to interact with others.",non-distorted,distorted
i have never been good enough and it caused me to want to take out my anger on others.,distorted,distorted
do you think it is possible to move on past this and be a family or do i just run for the hills? could it have been his state of mind at the time? i'm so confused whether or not to try to make this work.,distorted,distorted
"i wanted to be a doctor but how can i with all these problems? my dreams were torn apart when i was 11, i don't know where i belong.",distorted,distorted
"i know if i break up with him, i wont be able to move on but if i stay with him, i can't live with the fact that he doesn't even bother communicating with me.",distorted,distorted
"my dad has always demanded so much of me that it ended up draining me and sending down a spiral of depression, ocd, eating disorders and suicidal thoughts.",distorted,distorted
"when i think of quitting, i cry, because the thought of leaving all the nice people who work there makes me sad.",non-distorted,distorted
he won't tell me specifically what i do (if it's me) that bothers him no matter how i ask.,distorted,distorted
but he ignore me so my mom got his number from my phone and text him behind my back and i over reacted becuz i never got that close to a guy.,distorted,distorted
do i have anxiety? and what can i do about it? i want to talk to people about it but i feel silly and childish.,distorted,distorted
i know he enjoys sex with me but he can never seem to to last and if its not that he just doesn't want to be touched so attempting to even initiate something ends up making me feel completely rejected.,distorted,distorted
i dont know why but i feel like i am going to die.,distorted,distorted
"and he's either cruel to me to the point of my fighting back, or ignored anything i say completely.",distorted,distorted
from a 16 year old girl in india: i am having lots of problems being with my father that i think of hurting him and that i will never have my own life.,distorted,distorted
"my main question is ""how do i stop hating my step children?"" i can't control my anger every time they are even around.",distorted,distorted
it became a toxic dance & my self-esteem suffered.,distorted,distorted
"but i've told a few friends to fuck off or that i hate them, which i don't! i'm also sad so often of the time and i feel like nobody wants me around and that i'm worthless.",distorted,distorted
"i feel as if the more i express myself, the more frightened i am to express myself, and i think it's all because of what i did when i was in middle school.",distorted,distorted
is that normal to have thoughts and images pop up like that? my worst fear is that ill end up crazy or schizophrenic.,distorted,distorted
i start to feel that the only way to get the feeling to stop is to hurt someone but i know it's wrong so i try to hold back.,distorted,distorted
from a teen in switzerland: i want to live my life without all of the negative thoughts and worries.,non-distorted,distorted
"but he's also expressed suicidal thoughts in the past in the context of never wanting to go back to prison, and he's become worn out and depressed in dealing with the system (frequent court hearings, probation officers, in-laws, etc.",non-distorted,distorted
i feel like it's unacceptable to ignore someone at their worst as i was there for him at his worst.,distorted,distorted
the thought of going to university at this point terrifies me as i am worrying that all of my problems will get worse and worse to the point that i can't cope anymore.,distorted,distorted
and sometimes i remember events from my childhood -5 to 7 years old- and feel bad and worthless *as a kid.,distorted,distorted
it's gotten to the point where i won't even help my mom cook because it always terrifies me when my mom cuts meat.,distorted,distorted
"no, i am not going to suicide and never tried that but i kinda feel like it is going to be a traffic accident or someone will kill me.",distorted,distorted
"i feel awful, inferior, useless and worthless.",distorted,distorted
let me start by saying that i am an 18 years old hetero male and i am suffering from these thoughts for 2 years.,non-distorted,distorted
i am going mad because since 13 i have only gotten maybe 10 hours of sleep a week.,distorted,distorted
"i have never felt like this before and don't understand why i feel this way now, but a few things that he has said and done over the years has really stuck in my head and now that my daughter is becoming a woman i am worried.",non-distorted,distorted
"i blow up at my children when they ask me to do something, i'm easily annoyed, its hard for me to have a gathering at my house because the anxiety gets too out of control if i have to make coffee, have snacks or even a conversation without getting up and walking around aimlessly to do something, i dont know what.",distorted,distorted
"he's perhaps the only person that knows everything about me–i told him about my depression, he obviously knows about the prostitution–but he uses it against me when we have arguments.",distorted,distorted
"i hated him more, because my mother died of giving birth and here he is having a new wife.",distorted,distorted
from india: i have a bad relationship with my mother.,non-distorted,distorted
the psychologist told me i was having problems because i was so unstablyouith living circumstances.,distorted,distorted
i have to drown it out with music or podcasts to drown out my thoughts.,non-distorted,distorted
also for the past 4 months i have started to have the worst anxiety ive ever experienced with having 3 panic attacks.,non-distorted,distorted
"i used to be a volcano trying to erupt under ice, but now i'm a car that won't stop running, and the only thing that keeps me going is adrenaline.",distorted,distorted
it's humiliating and is uncomfortable for everyone involved.,distorted,distorted
i yell at my son that is 2years old and i hate myself for that cause he doesnt know better.,distorted,distorted
"and now i'm here, failing the 9th grade, completely friendless, i'm on medications and i'm going to therapy but i still can't get my life together.",distorted,distorted
the problem is he never wants to go anywhere with my children and me.,distorted,distorted
"i don't recognize the voice, i think it's inner but it's affecting me sometimes in a bad way.",distorted,distorted
i'm tired of crying about pointless things and never knowing what to do.,distorted,distorted
"my siblings and i have always thought he was semi-unstable, but recently he's gotten much worse.",non-distorted,distorted
i kept my feelings to myself because i didn't want my family to worry.,non-distorted,distorted
"this may not sound like much but i feel so depressed and i try, i really do, i just don't know why i don't get things in return.",distorted,distorted
"by hurting i mean only pinching, or slapping or scratching (basically anything that can make them suffer and cry a bit) but i don't feel any greater harm.",distorted,distorted
my mother went through a terrible depression in her early 40's.,non-distorted,distorted
it was my way of curbing my depressive episodes and the suicidal thoughts that never cease haunting me.,non-distorted,distorted
i have noticed that my emotions are starting to ignore everything.,distorted,distorted
i didn't know what to do because i feared i would lose my job and make things even worse.,distorted,distorted
"i have also insulin resistance and tachycardia (they are aware), so i don't want to trouble them with something as big as depression and anxiety that may just be all up in my head and possibly not be true.",distorted,distorted
"i feel like if im living in this house with someone who sees me a certain way and accuses me of being someone im not, the only way out is to kill myself.",,distorted
i have always been suicidal so i can't relate to him.,distorted,distorted
"when i asked them about it, they said that they had: – a weird want to hurt people that they do not know.",distorted,distorted
i have been diagnosed with major depression with psychosis truth is however i'm faking it because i am afraid to tell the truth which is i have no feelings toward people.,distorted,distorted
i was devastated because i never ever thought something like this could happen.,distorted,distorted
i grew up with my parents thinking i was lazy and had no motivation of doing anything but that wasn't the case they just didn't know that i was just hiding the way i was feeling from them because i knew they wouldn't understand.,distorted,distorted
"well according to what my aunt said they knew eachother for only 2 months or so b4 they got married! the story started when i heard my mom sweet talking on the phone, i first panicked & when i asked her who it was she said juss a friend but i knew she was lying .",distorted,distorted
starting from last year he's been undergoing ever more increasing depression.,non-distorted,distorted
i haven't told no one because i know they will say i am stupid for doing it.,distorted,distorted
"i had a very traumatic childhood being given up by my mum who couldn't look after me for her own mental problems which i still hate her for deep down, in and out of care all my life.",distorted,distorted
this makes me sad because i don't want to be the cause of someone's unhappiness and i know i need help.,distorted,distorted
"the problem i am having (which was also around before we got married) is that my wife continuously gets mad at me for reasons (in her perspective) that have to do with my not being caring enough, not understanding her, not being willing to listen to her.",distorted,distorted
"he repeatedly punched and broke my dashboard in my vehicle while screaming ""shutup you stupid b*tch!!"" when i told him once that he should go easier on his father when they had a disagreement.",distorted,distorted
"who am i? why the hell do i feel so disconnected from everything… including myself? i can't sleep at night because i can't shake these questions out of my mind… and when i do sleep, the same questions haunt me in my nightmares… i'm lost….",distorted,distorted
"i see a therapist and i don't really think that is helping much, partly because i find it so difficult to talk to anyone about this stuff let alone people i don't know very well and because i find it hard to expresses the such strong feelings of sadness, self hatred and guilt that i feel.",distorted,distorted
"to clarify it's nothing sexual, i don't engage in that sort of behavior, and i still feel unhappy over negative attention- but i enjoy that feeling of unhappiness.",distorted,distorted
"s: ever since i can remember, i have had people telling me to sit down and stop fidgeting.",non-distorted,distorted
i have no reason to be this neurotic because there isn't a diagnosable mental illness i can have and i cant think back to any past trauma that might have caused it but its driving me crazy and i feel like this has to stop now because its so frivolous and ridiculous.,distorted,distorted
"he's a great guy who never got angry at me or furious because of my ocd (afraid of germs), he was supporting and even changed his behavior in public to avoid me having a panic attack.",non-distorted,distorted
i stopped eating and no one even came to check on me.,distorted,distorted
i nag and nitpick over every little thing and he feels horrible because there isn't anything he can do about it.,distorted,distorted
i am just constantly afraid of failing and just never feel like i am good enough.,distorted,distorted
whenever i have to leave my house i start to feel sick.,distorted,distorted
it feels like i am constantly on the verge of a complete panic attack.,distorted,distorted
"he is sometimes inappropriate with his flirting, and when i talk with some of the girls he knows, he asks me ""what we talked about,"" and now i'm paranoid that he's hiding things from me.",distorted,distorted
"i'll think a shadow is a moving bug, and once i thought i saw smoke in the dining room, but nothing was cooking or on fire.",non-distorted,distorted
"i can't speak my mind, i feel i can't ask for anything because i'm bothering people.",distorted,distorted
she obviously get's angry and disappointed with me because i don't want to eat.,distorted,distorted
"i'm not diagnosed with anything, my mom says depression is a phase every teenage girl goes through and that it will just past me.",distorted,distorted
faking is impossible because i don't understand what or how to do it since i don't understand what is appropriate.,distorted,distorted
"every single time something happens now, he will cut himself, snort pills, and threaten to kill himself, or repeatedly ask me if he can die or how he should kill himself.",distorted,distorted
"i find myself wanting to binge on alcohol often and it's a struggle to stop at 1 glass ever, even though i hate feeling drunk.",distorted,distorted
"she never wanted him, she just went along with it but now knows she was duped and i feel so angry and hateful.",distorted,distorted
"recently, i have been stressed which has caused what symptoms of anxiety i have to skyrocket.",non-distorted,distorted
"now when she gets angry at our parrot for making a mess or being too loud, she hits the cage but never the bird.",non-distorted,distorted
when i was little i couldn't watch the news because i would become upset and always think about the people who died.,distorted,distorted
i am a shy (male) senior student in high school unsure of my plans of what to do in college and how to get a scholarship in the art world.,non-distorted,distorted
"i saw john cena, followed him, and came to a huge nest of killer bees; he was riding a four-wheeler and was making the bees mad.",distorted,distorted
i guess it is an anxiety attack.,non-distorted,distorted
"but i do do the following: worry a lot, become concerned that people don't like me or are talking about me even though i know its irrational and makes no sense all of this worsened after my recent move.",distorted,distorted
i was and am completely furious.,non-distorted,distorted
"we have always suspected that it was more than pms, she's practically an alcoholic and her behaviour isn't cyclical as you would suspect from pms.",distorted,distorted
i feel more isolated than ever and just have aching loneliness.,distorted,distorted
he will question me on everything and i have to prove everything he has doubt in.,distorted,distorted
i think someone says my name or whispers but no one did.,distorted,distorted
"i would go outside and smoke at 3 am in the morning, the parking lot was empty, would still hear them, but, no one was there.",distorted,distorted
"ever since i can remember, starting from when my mom and dad got divorced, i was ill treated by my relatives on my mother's side.",distorted,distorted
i am too scared to sleep now because i'm afraid that one day i might not wake up in time and will die in my sleep.,distorted,distorted
"i lied and gave him a very low number, because i knew he was a jealous man.",non-distorted,distorted
"i became depressed, i wouldn't have an appetite, i would get bad grades, and i would sleep all the time.",distorted,distorted
drawing is one of the only things i can do where my head isn't a buzz with disaster scenariorizing.,distorted,distorted
it all started with losing sleep the night before an exam and had very severe negative thoughts later.,distorted,distorted
it has gotten to the point where life has been complete hell and the only solution i can think of is violence (i won't go into detail).,distorted,distorted
"but to me, if i don't = i will fail.",distorted,distorted
"i genuinely don't think i could ever hurt her, she is the most important thing in the world to me.",non-distorted,distorted
"my parents have done so much for me, and i know they have tried their best at raising me, but, i can't help but blame them for how i turned out and feel angry at them.",distorted,distorted
should he be looked at? usually my son will throw tantrums that we feel are normal for a 5 year old.,non-distorted,distorted
i have felt pretty good without the meds but here latley i am back to crying for no reason and only able to think about what needs to be done instead of doing it.,distorted,distorted
im annoying and i should be alone forever.,distorted,distorted
"i never knew he felt so disgusted with me that he would describe my having children as ""shitting out kids"" to other people when he talks to them.",distorted,distorted
that night i cried myself to sleep because i was scared i didn't understand what was going on with my brother or if he was going to be okay.,non-distorted,distorted
"i have thoughts that i may be making up my problems to get attention or that nothing's wrong with me because some days everything feels normal but 90% of the time i feel horrible(memory problems,lack of purpose,difficulty concentrating,worrying,slightly suicidal).",distorted,distorted
"killing myself often crossed my mind and i also had thoughts of violence, not only directed at myself, but at other people as well.",distorted,distorted
i also hate it when we have to give a presentation for class.,non-distorted,distorted
i never found my behavior weird until i was put on anti depressants.,non-distorted,distorted
it's gotten to the point where i doubt everything i thought i once knew about myself.,distorted,distorted
"i thought it was all my fault, even if i'd been told it wasn't.",distorted,distorted
"and im afraid because i know how bad i feel, and i dont want to be locked away forever.",distorted,distorted
"but i feel like anytime he gets upset with me or we have an argument and he goes out with his friends, i fear he would hurt me again.",distorted,distorted
"i'd rather stay in my room away from everyone, even my own family but now it's starting to bother them.",distorted,distorted
i only have fragments of memories of being abused as a kid.,non-distorted,distorted
"the other night she came in and was mad that she couldn't be beside her dad because i was, so she whjned and punched me in the back until i left.",non-distorted,distorted
she's always stressed and has to deal with my two brothers who both have issues and are seeing therapists which are expensive and we don't have a lot of money.,distorted,distorted
"looking back on our courtship, i can see a few warning signs that i wasn't mature enough to recognize at the time, but he never acted quite this rageful towards me in the past.",non-distorted,distorted
from france: i have contacted you because my boyfriend started to see a psychotherapist since last autumn and i was skeptical from the start but i couldn't forbid him this.,non-distorted,distorted
"when it is at its worst, i can hardly get out a rational thought, it just keeps building on itself.",distorted,distorted
"empathy is difficult for me, i find that i have to force emotions out of myself to at least appear sane to others.",distorted,distorted
"i broke up with him a few weeks after our 1 year because i couldn't take the struggles anymore, and he was physically sick.",non-distorted,distorted
"also, because she and her soon to be ex-husband always had trouble living life as ""adults"" should and could never get and keep a place to live.",distorted,distorted
i sat in my mothers living room at one time screaming and crying while home alone because i was surrounded by fire.,non-distorted,distorted
"it's not like i'm gonna just come out and say, ""i want to go back to my therapist because i want to hurt people,"" because then i don't know what would happen.",distorted,distorted
"i would never hurt a fly let alone act on these thoughts but i wanna know why i'm having them? i heard it's from ocd and anxiety, and i know i have anxiety.",non-distorted,distorted
"i worry that if he doesn't get help soon he will do something silly as he just hates his life and feels he is a complete failure, i find it difficult to help him as i disagree with what he is blaming his problems on.",distorted,distorted
i then got on depression medication again because i did not want to live that life style anymore.,non-distorted,distorted
"i'd never feel like that, if i wasn't guilt-tripping myself, but in that moment, suicide seems like a pretty good idea – because i will feel like i'm unworthy of living because of all my screw-ups and like it'd keep me from screwing up again or from hurting someone else ever again.",distorted,distorted
"i've always got a headache, or stomach ache, or just generally feel ill.",distorted,distorted
she's often pessimistic and only thinks about how thing's effect her.,distorted,distorted
first off i haven't killed anyone yet because i'm not stupid.,distorted,distorted
i feel like i have always suffered from depression but i'm not 100% sure.,non-distorted,distorted
"while my dad, of course, is not completely innocent my mom seems to be having mental problems that are the basis for the arguing.",distorted,distorted
"i don't know what do i exactly feel but it always pricks me, makes me want to cry and then it leads to making me feel useless because whatever i try to do ends up wrong.",distorted,distorted
"in 22 years, i still have only had maybe a dozen memories of my childhood prior to the accident.",non-distorted,distorted
"i don't understand that since i am 41, my brother should have no say in what i do and don't do with my money, but when i try to tell him, he gets all mad at me and says that i am selfish.",distorted,distorted
he is good-looking and has an amazing personality but even thinking about meeting him or having a relationship with him makes me sick not because of him…because of me and i regret registering to the site.,distorted,distorted
everything's been a mess now and she's changed so much.,distorted,distorted
this is killing me because i don't want to be with anybody else! he is all i think of and the only man i want to ever be with.,distorted,distorted
"half the time my mom would wait til he left the kitchen then throw it away, then they'd fight about it all the time.",non-distorted,distorted
i am afraid if this continues i might lose needing my mom in my life ever which i feel guilty about.,distorted,distorted
"with each new, horrible thing he says to me, i think to myself ""this is the last straw, i will not put up with this anymore.",distorted,distorted
and i'm the worse iv ever been.,distorted,distorted
of course i was told i was a horrible mother for even thinking of asking him to leave.,distorted,distorted
her father was always drunk and she witnessed him beat her brothers because he was jealous that his wife (my mom's mother) was paying too much attention to them.,non-distorted,distorted
"i have always had a fear of death, after when i was little we lost one of the family pets (we treat them more like family members) and ever since then i have had these strange, at random, panics about me dying, and that i just don't want my story to end.",distorted,distorted
i can't stand the thought of being fat again especially because i know how hard it was for my old horse to carry me around when i was overweight and every time i reach a goal weight i set another that's less.,distorted,distorted
it's sending me in fits of hysteria!! in the mornings i don't want to get up because i'm afraid of being stressed out.,distorted,distorted
i haven't told my therapist about this because i don't know if it's just my anxiety or if i actually have the disorder.,distorted,distorted
i feel bad because i thought i'm all he ever wants and dreamed of but it doesn't feel that way.,distorted,distorted
"he told me when we broke up that when he thinks about his future, he doesn't see me in it anymore, and as much as he wanted us to work he just can't do it anymore.",non-distorted,distorted
"i often question why i do anything, i have no energy, nor motivation to do anything, i'm never hungry, i just feel weird and i always have a headache.",distorted,distorted
this started a couple of months ago when i bought a whole new wardrobe which i needed because i have lost 77 pounds in the last year.,non-distorted,distorted
he doesn't blame me for the issues any more and actually admits to the manipulation and abuse.,non-distorted,distorted
"i quit trying to talk to him about my hurt feelings because i feared it would just make him withdraw more, and possibly end the relationship.",distorted,distorted
i feel so bad because i'm an awful friend for wanting to drop her but i just don't want to talk about mental illness.,distorted,distorted
it's not a body image thing it's more i feel like a dick doing it and it seems very contrived & superficial but the only one suffering as a result of not doing it is me.,distorted,distorted
all i ever think about is dying but i think i'm getting worse.,distorted,distorted
"if my shoes feel weird, if i can't find something, just setting up my computer, or for no reason at all, can cause me to become irritated.",distorted,distorted
"she was in a bad place with her family dealing with a lot of anxiety, depression and emotional issues.",non-distorted,distorted
i feel very depressed and worthless.,distorted,distorted
i cannot get my therapists to focus of the pstd problems (flashbacks and nigtmares and severe anxiety) and they want me on an anti-psychotic even though there's never been any hint of a problem with the paxil setting off the bipolar.,distorted,distorted
"i always thought if i try harder it will be better, but with me my mistakes remind the same.",distorted,distorted
after the bad experience he got into alot of trouble and i feel that he hates me now because i told the police on him.,distorted,distorted
at the age of 25 i approached my ob/gyn about mood swings and lack of sexual drive and she prescribed me zoloft for post partum because my youngest daughter was about 8 months old.,non-distorted,distorted
sometime i am good but sometimes suddenly it comes back and i have panic attacks or very anxious time.,non-distorted,distorted
"what if i just masked it? i feel completely empty, i feel so unloved.",distorted,distorted
what is your advice on what i should do if i ever come face to face with him at the gym again? ignore him and leave? i have done some research and think this man may have borderline personality disorder.,non-distorted,distorted
it's all caused me so much pain.,distorted,distorted
in our second year he was diagnosed with a severe depression that he must have had for a while then.,non-distorted,distorted
i can't stop lying about everything.,distorted,distorted
ever since i was about 15 i have struggled with ever-worsening depression to the point where i was frequently self-harming and not moving for days.,non-distorted,distorted
